data__Global.Name,data__Region.Name,data__Sub.region.Name,data__Country.or.Area,data__alpha3,data__Developed...Developing.Countries,data__Least.Developed.Countries..LDC.,data__Intermediate.Region.Code,data__Intermediate.Region.Name,subregion,region,cnnRegion
World,Africa,Northern Africa,Algeria,DZA,Developing,,NA,,Northern Africa,Africa,Africa
World,Africa,Northern Africa,Egypt,EGY,Developing,,NA,,Northern Africa,Africa,Africa
World,Africa,Northern Africa,Libya,LBY,Developing,,NA,,Northern Africa,Africa,Africa
World,Africa,Northern Africa,Morocco,MAR,Developing,,NA,,Northern Africa,Africa,Africa
World,Africa,Northern Africa,Sudan,SDN,Developing,x,NA,,Northern Africa,Africa,Africa
World,Africa,Northern Africa,Tunisia,TUN,Developing,,NA,,Northern Africa,Africa,Africa
World,Africa,Northern Africa,Western Sahara,ESH,Developing,,NA,,Northern Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,British Indian Ocean Territory,IOT,Developing,,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,Burundi,BDI,Developing,x,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,Comoros,COM,Developing,x,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,Djibouti,DJI,Developing,x,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,Eritrea,ERI,Developing,x,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,Ethiopia,ETH,Developing,x,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,French Southern Territories,ATF,Developing,,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,Kenya,KEN,Developing,,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
World,Africa,Sub-Saharan Africa,Madagascar,MDG,Developing,x,14,Eastern Africa,Sub-Saharan Africa,Africa,Africa
